Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK01000128621001,209552.4,212559.6,215730,218978.4,221557.2,224118,226694.4,229332,231993.6,234699.6,237612,240306,242896.8,245798.4,248906.4,251947.2,254803.2,257780.4,260802,264178.8,267354,270058.8,273042,275822.4,278488.8,281235.6,284088,286814.4,289332,291894
PK01000128623001,44991.71,45008.44,45027.54,45046.43,45062.23,45078.22,45094.33,45111.5,45126.89,45144,45161.75,45178.23,45193.03,45208.9,45225.51,45241.95,45259.63,45277.34,45292.02,45306.56,45320.9,45333.45,45346.79,45359.71,45372,45384.56,45397.77,45410.08,45421.71,45433.02
PK01000128629001,61592.18,61614.54,61639.53,61663.92,61683.63,61702.19,61721.33,61742.08,61761.84,61781.91,61803.55,61824.36,61843,61864.71,61887.63,61910.91,61932.97,61954.5,61979.2,62005.04,62030.53,62054.29,62076.56,62098.36,62118.59,62139.08,62160.57,62180.5,62199.45,62219.04
PK01000128635001,6475810.8,6480657.6,6485443.2,6490990.8,6495320.4,6499525.2,6503755.2,6508114.8,6512349.6,6516764.4,6521422.8,6525932.4,6530084.4,6534807.6,6539869.2,6544809.6,6549453.6,6553890,6558764.4,6564248.4,6569576.4,6574788,6579709.2,6584496,6588859.2,6593408.4,6598054.8,6602400,6606368.4,6610528.8
PK01000128652001,436475.2,442852.8,449681.6,456113.6,461728,467195.2,472384,478075.2,483795.2,489113.6,494748.8,500012.8,505059.2,510752,516736,522560,527987.2,533516.8,539603.2,546347.2,552870.4,558841.6,564923.2,570764.8,576163.2,581886.4,587856,593238.4,598632,604030.4
PK01000128658001,2381152.8,2384089.2,2387143.2,2390305.2,2392868.4,2395365.6,2397900,2400471.6,2403072,2405665.2,2408421.6,2411038.8,2413443.6,2416185.6,2419076.4,2421984,2424664.8,2427200.4,2429997.6,2433158.4,2436253.2,2439255.6,2442102,2444916,2447521.2,2450168.4,2452894.8,2455406.4,2457898.8,2460429.6
PK01000128665001,48072.67,48100.96,48131,48160.17,48186.46,48212.44,48238.23,48264.2,48289.59,48315.06,48340.26,48366.15,48390.93,48418.52,48447.27,48475.6,48503.39,48528.9,48556.89,48587.13,48617.56,48647.37,48675.74,48704.33,48729.58,48756.6,48785.11,48811.68,48837.5,48863.42
PK01000128746001,43159.37,43182.39,43206.95,43229.46,43249.26,43268.51,43288.19,43308.18,43327.91,43348.17,43367.74,43387.84,43406.92,43429.15,43452.17,43474.8,43496.45,43516.07,43536.98,43561.37,43585.91,43609.12,43631.33,43653.69,43672.89,43693.72,43715.76,43736.69,43756.72,43776.82
PK01000128752001,62469.71,62500.71,62532.11,62561.77,62590.63,62619.22,62648.25,62677.45,62706.6,62734.67,62761.51,62788.76,62815.18,62844.08,62873.91,62903.79,62930.92,62957.99,62987.63,63018.78,63049.71,63080.09,63109.82,63138.67,63164.9,63192.49,63220.56,63248.41,63275.6,63302.15
PK01000128759001,85734.11,85769.52,85814.72,85852.91,85888.73,85922.99,85957.42,85992.92,86029.59,86067.37,86105.68,86143.64,86178.05,86216.64,86257.47,86299.11,86337.64,86372.76,86412.1,86454.15,86496.17,86537.5,86577.06,86617.13,86651.42,86689.44,86726.9,86762.75,86798.33,86833.45
