Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK0100T135953001,1778774.4,1779924.8,1781076.8,1782193.6,1783249.6,1784272,1785298.4,1786356,1787389.6,1788547.2,1789723.2,1790841.6,1791847.2,1793006.4,1794246.4,1795445.6,1796573.6,1797647.2,1798806.4,1800082.4,1801372.8,1802586.4,1803748,1804904.8,1805923.2,1806964.8,1808067.2,1809150.4,1810163.2,1811211.2
PK0100T135956001,106493.1,106711.2,106919.1,107130,107308.5,107470.5,107637,107799.6,107973.9,108156.3,108333,108511.2,108663.6,108850.5,109044.6,109223.4,109401.6,109563.9,109721.4,109909.5,110095.5,110284.5,110456.1,110666.7,110826.6,110965.5,111134.4,111298.2,111469.2,111620.4
PK0100T135998001,2212572,2216062.8,2219802,2223213.6,2226716.4,2230227.6,2233842,2237532,2241145.2,2244856.8,2248273.2,2251863.6,2255350.8,2259290.4,2263330.8,2267248.8,2270761.2,2273947.2,2277778.8,2281779.6,2285756.4,2289828,2293560,2297258.4,2300512.8,2304081.6,2307861.6,2311358.4,2314700.4,2318145.6
PK0100T136006001,1969516.8,1972040.4,1975036.8,1978054.8,1980228,1982383.2,1984551.6,1986769.2,1988948.4,1991138.4,1993462.8,1995708,1997818.8,2000181.6,2002725.6,2005148.4,2007440.4,2009704.8,2012173.2,2014909.2,2017588.8,2020117.2,2022626.4,2025108,2027409.6,2029724.4,2032149.6,2034348,2036470.8,2038578
PK0100T136008001,970.12,971.29,972.59,973.58,974.62,975.64,976.64,977.88,979.04,979.88,980.77,981.81,982.79,983.56,985.92,989.33,992.62,995.95,999.15,1001.11,1002.03,1002.9,1003.96,1004.62,1005.09,1005.79,1006.71,1007.74,1008.69,1009.6
PK0100T136012001,206729.6,207141.4,207555.6,207993.4,208345,208695.6,209068.6,209451.2,209839.4,210201.2,210556.8,210938.8,211282.2,211639.4,212022.2,212425.6,212836,213209.4,213594,214021.8,214460,214883.4,215291.4,215699,216052.2,216434.2,216841.8,217231.8,217606.4,217975.4
PK0100T136013001,12681.61,12701.62,12720.51,12742.56,12759.34,12776,12792.95,12810.56,12827.5,12844.26,12862.95,12882.08,12900.27,12919.33,12939.4,12960.69,12980.03,12998.37,13018.02,13039.31,13061.31,13082.31,13100.04,13120.11,13139.35,13157.86,13177.4,13196.3,13215.63,13234.48
PK0100T136028001,1151544,1152508.8,1153280.4,1153720.8,1154702.4,1155604.8,1156519.2,1157367.6,1158241.2,1158926.4,1159330.8,1160259.6,1161204,1162262.4,1163232,1164208.8,1164963.6,1165449.6,1166366.4,1167298.8,1168200,1169072.4,1170008.4,1170784.8,1171149.6,1172179.2,1173223.2,1174034.4,1174861.2,1175680.8
PK0100T136032001,2291345.6,2294140,2297772.8,2301176.8,2303887.2,2306480.8,2309121.6,2311829.6,2314592,2317401.6,2320530.4,2323249.6,2325857.6,2328807.2,2331943.2,2335006.4,2337865.6,2340720,2343716.8,2346957.6,2350156.8,2353298.4,2356327.2,2359395.2,2362227.2,2365184.8,2368110.4,2370871.2,2373524,2376146.4
PK0100T136033001,1744549.6,1746776.8,1749199.2,1751654.4,1753682.4,1755656,1757668.8,1759756,1761789.6,1763859.2,1766047.2,1768128,1770039.2,1772254.4,1774603.2,1776917.6,1779098.4,1781252,1783541.6,1786059.2,1788482.4,1790884,1793220,1795481.6,1797634.4,1799804,1802048.8,1804056,1806009.6,1808013.6
PK0100T136035001,1660036,1662095.2,1664734.4,1667144.8,1669071.2,1670954.4,1672877.6,1674824.8,1676838.4,1679098.4,1681448.8,1683446.4,1685308,1687420,1689628.8,1691824.8,1693861.6,1695988,1698224,1700632.8,1702986.4,1705308.8,1707548.8,1709783.2,1711726.4,1713738.4,1715855.2,1717760.8,1719578.4,1721544.8
PK0100T136038001,56430.54,56455.35,56487.47,56518.23,56543.73,56567.9,56592.75,56618.29,56644.38,56669.82,56696.41,56722.28,56747.25,56774.89,56803.89,56832.21,56859.79,56885.51,56912.61,56943.39,56974.67,57005.14,57034.33,57063.4,57089.81,57116.57,57144.28,57171.26,57196.96,57221.93
PK0100T136046001,1018669.2,1021030.8,1023469.2,1025967.6,1028071.2,1030021.2,1032008.4,1033983.6,1036045.2,1038094.8,1040326.8,1042386,1044363.6,1046586,1048911.6,1051245.6,1053297.6,1055517.6,1057797.6,1060360.8,1062849.6,1065208.8,1067319.6,1069761.6,1071880.8,1074006,1076266.8,1078285.2,1080240,1082208
PK0100T136063001,1201833.6,1204814.4,1207747.2,1210412.4,1213207.2,1216020,1218858,1221758.4,1224643.2,1227441.6,1229974.8,1232870.4,1235473.2,1238451.6,1241512.8,1244714.4,1247571.6,1250050.8,1253053.2,1256116.8,1259172,1262155.2,1265080.8,1267756.8,1270083.6,1272922.8,1275750,1278466.8,1281094.8,1283709.6
PK0100T136066001,174056.4,176593.2,179300.4,181946.4,184298.4,186591.6,188913.6,191229.6,193614,196086,198559.2,200887.2,203080.8,205587.6,208070.4,210571.2,212928,215257.2,217609.2,220310.4,222800.4,225279.6,227667.6,229964.4,232234.8,234403.2,236694,238940.4,241070.4,243148.8
PK0100T136067001,296652,300708,304784.4,308856,312567.6,316063.2,319484.4,323008.8,326577.6,330130.8,333675.6,337248,340593.6,344367.6,348249.6,352332,355963.2,359637.6,363507.6,367699.2,371888.4,375858,379864.8,383589.6,387008.4,390730.8,394648.8,398299.2,401766,405184.8
PK0100T136068001,150411.6,152643.6,154964.4,157372.8,159237.6,161044.8,162928.8,164806.8,166719.6,168754.8,170820,172784.4,174574.8,176592,178749.6,180836.4,182769.6,184684.8,186700.8,188906.4,191156.4,193424.4,195540,197695.2,199610.4,201547.2,203542.8,205423.2,207219.6,209004
PK0100T136070001,154714.8,156866.4,159216,161642.4,163569.6,165430.8,167322,169230,171120,173104.8,175239.6,177181.2,179025.6,181100.4,183403.2,185581.2,187659.6,189734.4,191880,194349.6,196782,199150.8,201394.8,203572.8,205627.2,207631.2,209794.8,211768.8,213626.4,215508
PK0100T136071001,169771.2,172179.6,174734.4,177331.2,179528.4,181645.2,183784.8,186007.2,188122.8,190304.4,192669.6,194871.6,196981.2,199324.8,201968.4,204499.2,206784,209071.2,211526.4,214200,216850.8,219466.8,221925.6,224372.4,226659.6,229022.4,231423.6,233590.8,235702.8,237823.2
PK0100T136072001,182557.2,185162.4,187856.4,190510.8,192760.8,194907.6,197175.6,199495.2,201807.6,204145.2,206666.4,209035.2,211185.6,213537.6,216158.4,218712,221161.2,223515.6,225958.8,228699.6,231379.2,233970,236426.4,238834.8,241192.8,243619.2,246144,248442,250681.2,252914.4
PK0100T136073001,169753.2,172245.6,174990,177654,179845.2,181930.8,184068,186202.8,188318.4,190573.2,192994.8,195169.2,197262,199657.2,202242,204759.6,207084,209414.4,211887.6,214665.6,217317.6,219615.6,222146.4,224535.6,226816.8,229113.6,231505.2,233780.4,235879.2,238012.8
PK0100T136074001,269572.8,273295.2,277234.8,281311.2,284594.4,287742,290964,294254.4,297560.4,301050,304701.6,308066.4,311205.6,314787.6,318621.6,322443.6,326035.2,329545.2,333204,337330.8,341367.6,345258,348967.2,352692,356155.2,359589.6,363160.8,366517.2,369709.2,372958.8
PK0100T136075001,278757.6,282705.6,286794,290536.8,294128.4,297772.8,301305.6,305054.4,308798.4,312556.8,316201.2,319791.6,323306.4,327015.6,331074,335082,338730,342218.4,346148.4,350181.6,354219.6,358232.4,361950,365727.6,368986.8,372657.6,376340.4,379812,383186.4,386678.4
PK0100T136076001,211242,214014,217230,220111.2,222633.6,225243.6,227960.4,230774.4,233380.8,236157.6,239204.4,241856.4,244548,247348.8,248854.8,252904.8,255620.4,258388.8,261068.4,263842.8,266557.2,269306.4,271996.8,274764,277351.2,279884.4,282486,284821.2,287245.2,289627.2
